EXID,Preferred name,Degree,Group name,ID,Synonyms
REACT:R209560,nf-kb is activated and signals survival,9,Pathway,REACT:R209560,nf-kb is activated and signals survival
REACT:R187037,ngf signalling via trka from the plasma membrane,22,Pathway,REACT:R187037,ngf signalling via trka from the plasma membrane
REACT:R975576,n-glycan antennae elongation in the medial/trans-golgi,4,Pathway,REACT:R975576,n-glycan antennae elongation in the medial/trans-golgi
REACT:R197264,nicotinamide salvaging,2,Pathway,REACT:R197264,nicotinamide salvaging
REACT:R196807,nicotinate metabolism,3,Pathway,REACT:R196807,nicotinate metabolism
REACT:R392154,nitric oxide stimulates guanylate cyclase,7,Pathway,REACT:R392154,nitric oxide stimulates guanylate cyclase
REACT:R168638,nod1/2 signaling pathway,11,Pathway,REACT:R168638,nod1/2 signaling pathway
KEGG:hsa04621,nod-like receptor signaling pathway,27,Pathway,KEGG:hsa04621,nod-like receptor signaling pathway
KEGG:hsa04932,non-alcoholic fatty liver disease,28,Pathway,KEGG:hsa04932,non-alcoholic fatty liver disease
REACT:R3000171,non-integrin membrane-ecm interactions,10,Pathway,REACT:R3000171,non-integrin membrane-ecm interactions
KEGG:hsa05223,non-small cell lung cancer,21,Pathway,KEGG:hsa05223,non-small cell lung cancer
REACT:R2122947,notch1 intracellular domain regulates transcription,11,Pathway,REACT:R2122947,notch1 intracellular domain regulates transcription
REACT:R193648,nrage signals death through jnk,9,Pathway,REACT:R193648,nrage signals death through jnk
REACT:R383280,nuclear receptor transcription pathway,21,Pathway,REACT:R383280,nuclear receptor transcription pathway
REACT:R168643,"nucleotide-binding domain, leucine rich repeat containing receptor (nlr) signaling pathways",18,Pathway,REACT:R168643,"nucleotide-binding domain, leucine rich repeat containing receptor (nlr) signaling pathways"
REACT:R1480926,o2/co2 exchange in erythrocytes,3,Pathway,REACT:R1480926,o2/co2 exchange in erythrocytes
KEGG:hsa04740,olfactory transduction,2,Pathway,KEGG:hsa04740,olfactory transduction
REACT:R2559585,oncogene induced senescence,17,Pathway,REACT:R2559585,oncogene induced senescence
REACT:R6802957,oncogenic mapk signaling,13,Pathway,REACT:R6802957,oncogenic mapk signaling
KEGG:hsa04114,oocyte meiosis,16,Pathway,KEGG:hsa04114,oocyte meiosis
REACT:R111885,opioid signalling,12,Pathway,REACT:R111885,opioid signalling
REACT:R1852241,organelle biogenesis and maintenance,12,Pathway,REACT:R1852241,organelle biogenesis and maintenance
KEGG:hsa04380,osteoclast differentiation,25,Pathway,KEGG:hsa04380,osteoclast differentiation
KEGG:hsa04913,ovarian steroidogenesis,21,Pathway,KEGG:hsa04913,ovarian steroidogenesis
REACT:R5689896,ovarian tumor domain proteases,8,Pathway,REACT:R5689896,ovarian tumor domain proteases
REACT:R2559580,oxidative stress induced senescence,14,Pathway,REACT:R2559580,oxidative stress induced senescence
REACT:R1234176,oxygen-dependent proline hydroxylation of hypoxia-inducible factor alpha,10,Pathway,REACT:R1234176,oxygen-dependent proline hydroxylation of hypoxia-inducible factor alpha
KEGG:hsa04921,oxytocin signaling pathway,17,Pathway,KEGG:hsa04921,oxytocin signaling pathway
REACT:R372708,p130cas linkage to mapk signaling for integrins,4,Pathway,REACT:R372708,p130cas linkage to mapk signaling for integrins
REACT:R69563,p53-dependent g1 dna damage response,13,Pathway,REACT:R69563,p53-dependent g1 dna damage response
REACT:R69580,p53-dependent g1/s dna damage checkpoint,13,Pathway,REACT:R69580,p53-dependent g1/s dna damage checkpoint
KEGG:hsa04115,p53 signaling pathway,25,Pathway,KEGG:hsa04115,p53 signaling pathway
REACT:R193704,p75 ntr receptor-mediated signalling,14,Pathway,REACT:R193704,p75 ntr receptor-mediated signalling
REACT:R209543,p75ntr recruits signalling complexes,7,Pathway,REACT:R209543,p75ntr recruits signalling complexes
REACT:R193639,p75ntr signals via nf-kb,13,Pathway,REACT:R193639,p75ntr signals via nf-kb
KEGG:hsa05212,pancreatic cancer,22,Pathway,KEGG:hsa05212,pancreatic cancer
KEGG:hsa04972,pancreatic secretion,12,Pathway,KEGG:hsa04972,pancreatic secretion
REACT:R6802955,paradoxical activation of raf signaling by kinase inactive braf,14,Pathway,REACT:R6802955,paradoxical activation of raf signaling by kinase inactive braf
KEGG:hsa05012,parkinson disease,13,Pathway,KEGG:hsa05012,parkinson disease
KEGG:hsa05130,pathogenic escherichia coli infection,13,Pathway,KEGG:hsa05130,pathogenic escherichia coli infection
KEGG:hsa05200,pathways in cancer,29,Pathway,KEGG:hsa05200,pathways in cancer
REACT:R209952,peptide hormone biosynthesis,4,Pathway,REACT:R209952,peptide hormone biosynthesis
REACT:R2980736,peptide hormone metabolism,11,Pathway,REACT:R2980736,peptide hormone metabolism
REACT:R375276,peptide ligand-binding receptors,11,Pathway,REACT:R375276,peptide ligand-binding receptors
REACT:R381042,perk regulates gene expression,13,Pathway,REACT:R381042,perk regulates gene expression
KEGG:hsa04146,peroxisome,16,Pathway,KEGG:hsa04146,peroxisome
KEGG:hsa05133,pertussis,26,Pathway,KEGG:hsa05133,pertussis
KEGG:hsa04145,phagosome,14,Pathway,KEGG:hsa04145,phagosome
REACT:R5576892,phase 0 - rapid depolarisation,8,Pathway,REACT:R5576892,phase 0 - rapid depolarisation
REACT:R211945,phase 1 - functionalization of compounds,25,Pathway,REACT:R211945,phase 1 - functionalization of compounds
REACT:R5576893,phase 2 - plateau phase,4,Pathway,REACT:R5576893,phase 2 - plateau phase
REACT:R156580,phase ii conjugation,18,Pathway,REACT:R156580,phase ii conjugation
KEGG:hsa00360,phenylalanine metabolism,5,Pathway,KEGG:hsa00360,phenylalanine metabolism
KEGG:hsa04070,phosphatidylinositol signaling system,13,Pathway,KEGG:hsa04070,phosphatidylinositol signaling system
KEGG:hsa04072,phospholipase d signaling pathway,18,Pathway,KEGG:hsa04072,phospholipase d signaling pathway
REACT:R1483257,phospholipid metabolism,15,Pathway,REACT:R1483257,phospholipid metabolism
REACT:R4839743,phosphorylation site mutants of ctnnb1 are not targeted to the proteasome by the destruction complex,4,Pathway,REACT:R4839743,phosphorylation site mutants of ctnnb1 are not targeted to the proteasome by the destruction complex
REACT:R5578768,physiological factors,3,Pathway,REACT:R5578768,physiological factors
REACT:R198203,pi3k/akt activation,21,Pathway,REACT:R198203,pi3k/akt activation
REACT:R2219528,pi3k/akt signaling in cancer,18,Pathway,REACT:R2219528,pi3k/akt signaling in cancer
KEGG:hsa04151,pi3k-akt signaling pathway,26,Pathway,KEGG:hsa04151,pi3k-akt signaling pathway
REACT:R109704,pi3k cascade,11,Pathway,REACT:R109704,pi3k cascade
REACT:R6811558,"pi5p, pp2a and ier3 regulate pi3k/akt signaling",19,Pathway,REACT:R6811558,"pi5p, pp2a and ier3 regulate pi3k/akt signaling"
REACT:R1483255,pi metabolism,10,Pathway,REACT:R1483255,pi metabolism
REACT:R1257604,pip3 activates akt signaling,20,Pathway,REACT:R1257604,pip3 activates akt signaling
REACT:R163615,pka activation,4,Pathway,REACT:R163615,pka activation
REACT:R164378,pka activation in glucagon signalling,4,Pathway,REACT:R164378,pka activation in glucagon signalling
REACT:R111931,pka-mediated phosphorylation of creb,5,Pathway,REACT:R111931,pka-mediated phosphorylation of creb
REACT:R109703,pkb-mediated events,9,Pathway,REACT:R109703,pkb-mediated events
REACT:R3214841,pkmts methylate histone lysines,8,Pathway,REACT:R3214841,pkmts methylate histone lysines
KEGG:hsa04611,platelet activation,17,Pathway,KEGG:hsa04611,platelet activation
REACT:R76002,"platelet activation, signaling and aggregation",21,Pathway,REACT:R76002,"platelet activation, signaling and aggregation"
REACT:R75892,platelet adhesion to exposed collagen,3,Pathway,REACT:R75892,platelet adhesion to exposed collagen
